Wavelenght,mre_222_paar2
250,135.3689655
249,134.2597701
248,255.8028736
247,316.7229885
246,319.2482759
245,134.9103448
244,-73.40402299
243,-316.4844828
242,-336.6557471
241,-789.1091954
240,-840.9022989
239,-854.3505747
238,-1263.971264
237,-1718.126437
236,-2011.218391
235,-2342.637931
234,-2729.718391
233,-3095.816092
232,-3736.189655
231,-4282.787356
230,-4835.735632
229,-5279.770115
228,-5858.850575
227,-6785.45977
226,-7040.804598
225,-7298.218391
224,-7434.770115
223,-7420.747126
222,-8111.37931
221,-8227.298851
220,-8443.16092
219,-8916.781609
218,-8500.747126
217,-8363.850575
216,-8442.816092
215,-8441.206897
214,-9210.862069
213,-9002.586207
212,-9111.494253
211,-10317.75862
210,-10387.06897
209,-11844.13793
208,-12548.44828
207,-13376.32184
206,-12952.81609
205,-13240.11494
204,-12076.6092
203,-11127.64368
202,-10232.24138
201,-10123.27586
200,-8876.551724
