#File origin :                                  Exported with ChiraKit
#Time stamp :                                   2024-05-21 15:50:46 CEST
#CD units :                                     Millidegrees (m°)
#Sample concentration (mg/ml) :                 0
#Path length (cm) :                             0
#Molecular weight (Da) :                        0
#Number of residues (for protein samples) :     0
#Wavelength units :                             nanometers (nm)
wavelength,Batch 1 test spectra,Batch 2 test spectra,Batch 3 test spectra,Batch 4 test spectra,Batch 5 test spectra,Batch 6 test spectra,Batch 7 test spectra,Batch 8 test spectra,Batch 9 test spectra,Batch 10 test spectra,Batch 11 test spectra,Batch 12 test spectra,Batch 13 test spectra,Batch 14 test spectra,Batch 15 test spectra,Batch 16 test spectra,Batch 17 test spectra,Batch 18 test spectra,Batch 19 test spectra,Batch 20 test spectra,Batch 21 test spectra,Batch 22 test spectra,Batch 23 test spectra,Batch 24 test spectra,Batch 25 test spectra,Batch 26 test spectra,Batch 27 test spectra,Batch 28 test spectra,Batch 29 test spectra,Batch 30 test spectra,Batch 31 test spectra,Batch 32 test spectra,Batch 33 test spectra,Batch 34 test spectra,Batch 35 test spectra,Batch 36 test spectra
260,-0.53674,-0.60745,-0.76923,-0.78041,-0.85163,-1.0928,-1.1433,-1.4325,-1.1282,-1.0391,-1.1064,-0.97426,-1.0816,-1.0705,-0.69907,-0.88266,-0.67084,-0.87288,-0.83386,-0.90835,-0.9388,-1.1994,-0.5389,-0.75737,-0.64484,-0.62848,-0.83428,-1.1008,-1.0299,-1.0246,-1.2532,-1.3277,-1.1253,-0.97426,-1.0228,-1.0746
259,-0.57409,-0.65995,-0.72533,-0.78162,-0.96477,-1.1371,-1.0674,-1.4255,-1.1576,-1.0114,-1.0419,-1.0102,-1.0749,-1.0198,-0.75734,-0.92882,-0.74238,-0.88717,-0.88202,-1.0692,-0.93914,-1.1856,-0.53773,-0.79884,-0.75491,-0.66175,-0.84937,-1.1036,-1.0858,-1.012,-1.2827,-1.4307,-1.1584,-1.0102,-0.98676,-1.0928
258,-0.49087,-0.68985,-0.81393,-0.81788,-0.86005,-1.1351,-1.0357,-1.4413,-1.078,-0.9882,-1.0786,-1.0458,-1.1117,-0.95114,-0.66366,-0.89948,-0.76012,-0.90285,-0.87098,-0.95174,-0.97189,-1.0961,-0.5269,-0.78129,-0.67771,-0.69799,-0.82154,-1.1093,-1.0627,-1.1054,-1.3125,-1.4412,-1.2057,-1.0458,-1.0729,-1.0693
257,-0.59889,-0.70816,-0.89907,-0.84284,-0.96337,-1.2095,-1.0716,-1.4175,-1.134,-1.0586,-1.0824,-1.0108,-1.0626,-1.0155,-0.77212,-0.98358,-0.8453,-0.94163,-0.98254,-0.95556,-0.96702,-1.1536,-0.56591,-0.76286,-0.78856,-0.72288,-0.87181,-1.1023,-1.0895,-1.104,-1.2351,-1.4054,-1.2116,-1.0108,-0.96422,-1.1231
256,-0.57631,-0.7541,-0.77512,-0.9143,-1.0327,-1.199,-1.1016,-1.4001,-1.1702,-1.0588,-1.1188,-1.109,-1.1812,-1.0515,-0.78536,-0.97352,-0.8685,-1.0002,-0.97012,-1.0063,-0.95464,-1.147,-0.59876,-0.84532,-0.77231,-0.75828,-0.84264,-1.151,-1.1254,-1.1106,-1.2539,-1.4467,-1.2237,-1.109,-0.99443,-1.1775
255,-0.65235,-0.80927,-0.85414,-0.94219,-0.99225,-1.2696,-1.1467,-1.4592,-1.2022,-1.0928,-1.182,-1.1284,-1.2127,-1.1037,-0.7984,-0.99922,-0.86226,-1.0136,-0.95966,-1.046,-1.0284,-1.2506,-0.66329,-0.87088,-0.77805,-0.77546,-0.90373,-1.1402,-1.1249,-1.1016,-1.3029,-1.4696,-1.2255,-1.1284,-1.0517,-1.2279
254,-0.62996,-0.80432,-0.91191,-0.95394,-1.0137,-1.2237,-1.1445,-1.5279,-1.2409,-1.079,-1.1344,-1.1537,-1.2317,-1.0625,-0.88019,-1.0992,-0.92054,-1.0575,-1.0387,-1.0744,-1.0014,-1.2019,-0.74579,-0.98218,-0.86643,-0.81449,-0.98881,-1.2296,-1.1184,-1.0772,-1.369,-1.5572,-1.312,-1.1537,-1.038,-1.2185
253,-0.76564,-0.86921,-0.97399,-0.94233,-1.1628,-1.2962,-1.1278,-1.558,-1.3096,-1.1755,-1.2072,-1.1567,-1.2558,-1.1454,-0.88478,-1.0964,-0.96307,-1.141,-1.081,-1.1057,-1.1284,-1.2634,-0.76166,-0.99905,-0.83149,-0.90106,-1.0223,-1.2118,-1.1869,-1.1453,-1.3371,-1.5643,-1.3695,-1.1567,-1.0797,-1.2518
252,-0.88545,-0.92304,-1.0109,-1.0423,-1.1544,-1.3062,-1.2118,-1.6291,-1.2448,-1.2472,-1.2883,-1.1753,-1.3247,-1.1686,-0.92512,-1.1264,-1.1165,-1.2302,-1.0639,-1.1686,-1.0697,-1.3109,-0.70306,-1.0229,-0.97108,-0.95378,-1.0968,-1.2267,-1.2263,-1.2506,-1.4139,-1.5306,-1.3183,-1.1753,-1.1398,-1.2644
251,-0.98758,-1.0436,-1.1231,-1.191,-1.2738,-1.4012,-1.2201,-1.6008,-1.3245,-1.2793,-1.2602,-1.2811,-1.3617,-1.2318,-0.97104,-1.2324,-1.1199,-1.2184,-1.1839,-1.203,-1.1689,-1.4171,-0.8386,-1.1895,-1.1036,-1.0432,-1.2004,-1.3065,-1.3231,-1.3284,-1.4835,-1.64,-1.4054,-1.2811,-1.1942,-1.3714
250,-1.0416,-1.21,-1.1754,-1.2722,-1.3225,-1.4637,-1.3779,-1.6978,-1.4893,-1.3183,-1.3663,-1.2819,-1.4349,-1.3168,-1.1094,-1.34,-1.2851,-1.3327,-1.3188,-1.2651,-1.2676,-1.4682,-0.98769,-1.326,-1.1048,-1.1184,-1.2378,-1.4409,-1.3886,-1.3381,-1.5192,-1.6906,-1.482,-1.2819,-1.2092,-1.4568
249,-1.1966,-1.3736,-1.3206,-1.4447,-1.5534,-1.5974,-1.4362,-1.762,-1.5326,-1.4507,-1.493,-1.4525,-1.5492,-1.4775,-1.2215,-1.4551,-1.3236,-1.4598,-1.4238,-1.3758,-1.3854,-1.5037,-1.1529,-1.3974,-1.2831,-1.116,-1.3963,-1.5378,-1.4978,-1.485,-1.5825,-1.7957,-1.5705,-1.4525,-1.35,-1.5391
248,-1.288,-1.4577,-1.5234,-1.5643,-1.6925,-1.6755,-1.5696,-1.9515,-1.6188,-1.5379,-1.6055,-1.5779,-1.6206,-1.496,-1.3974,-1.6235,-1.4913,-1.6296,-1.574,-1.5166,-1.4073,-1.623,-1.2108,-1.6727,-1.4482,-1.4573,-1.4963,-1.6791,-1.5469,-1.6246,-1.7122,-1.9385,-1.7355,-1.5779,-1.5302,-1.7277
247,-1.5541,-1.7155,-1.7206,-1.7485,-1.8451,-1.8375,-1.7008,-2.1047,-1.7763,-1.7221,-1.8105,-1.7375,-1.7939,-1.7313,-1.5412,-1.864,-1.7745,-1.8251,-1.7208,-1.5854,-1.6441,-1.7782,-1.4761,-1.7732,-1.7138,-1.5053,-1.6265,-1.7998,-1.7731,-1.8026,-1.8734,-2.0388,-1.934,-1.7375,-1.683,-1.7933
